DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,GRUPO ETARIO,TIPO DE HURTO,CANTIDAD
CAUCA,EL TAMBO,19256000,LLAVE MAESTRA,30/11/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,LLAVE MAESTRA,30/11/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,MIRANDA,19455000,NO REPORTA,30/11/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,TORIBIO,19821000,NO REPORTA,3/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,MERCADERES,19450000,LLAVE MAESTRA,4/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,BUENOS AIRES,19110000,SIN EMPLEO DE ARMAS,4/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,SUÁREZ,19780000,ARMA DE FUEGO,6/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,CAJIBÍO,19130000,ARMA DE FUEGO,8/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,LLAVE MAESTRA,8/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,EL TAMBO,19256000,NO REPORTA,8/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,MERCADERES,19450000,ARMA DE FUEGO,9/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,SANTANDER DE QUILICHAO,19698000,ARMA DE FUEGO,9/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,LLAVE MAESTRA,9/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,SIN EMPLEO DE ARMAS,10/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,MERCADERES,19450000,ARMA DE FUEGO,11/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,PUERTO TEJADA,19573000,ARMA DE FUEGO,11/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,NO REPORTA,11/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,2
CAUCA,POPAYÁN (CT),19001000,SIN EMPLEO DE ARMAS,12/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,ARMA DE FUEGO,13/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,PUERTO TEJADA,19573000,ARMA DE FUEGO,13/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,SIN EMPLEO DE ARMAS,13/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,SUÁREZ,19780000,ARMA DE FUEGO,14/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,CALDONO,19137000,NO REPORTA,16/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,LA SIERRA,19392000,NO REPORTA,18/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,SIN EMPLEO DE ARMAS,18/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,PUERTO TEJADA,19573000,ARMA DE FUEGO,19/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,SANTANDER DE QUILICHAO,19698000,LLAVE MAESTRA,20/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
CAUCA,POPAYÁN (CT),19001000,NO REPORTA,20/12/2018,NO APLICA,NO APLICA,HURTO AUTOMOTORES,1
